Model Year,Mfr Name,Division,Carline,Engine Displacement,Cylinder,Transmission,City FE ,Highway FE,Combined FE,Air Aspiration Method,Transmission Desc,Gears,Drive Desc,Fuel Usage Desc,Carline Class Desc
2015,BMW,BMW,Alpina B7 SWB xDrive,4.4,8,Automatic,16,24,19,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,X1 sDrive28i,2,4,Automatic,23,34,27,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,X1 xDrive28i,2,4,Automatic,22,32,26,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,X1 xDrive35i,3,6,Auto(S6),18,27,21,Turbocharged,Semi-Automatic,6,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,General Motors,Cadillac,XTS,3.6,6,Auto(S6),18,28,21,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Large Cars
2015,General Motors,Cadillac,XTS AWD,3.6,6,Auto(S6),16,24,19,Turbocharged,Semi-Automatic,6,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Large Cars
2015,General Motors,Cadillac,XTS AWD,3.6,6,Auto(S6),17,26,20,Naturally Aspirated,Semi-Automatic,6,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Large Cars
2015,General Motors,Chevrolet,IMPALA,2.5,4,Auto(S6),22,31,25,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Large Cars
2015,General Motors,Chevrolet,IMPALA,3.6,6,Auto(S6),19,29,22,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Large Cars
2015,General Motors,Chevrolet,IMPALA,3.6,6,Auto(S6),18,28,21,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Large Cars
2015,General Motors,Chevrolet,IMPALA LIMITED,3.6,6,Auto(A6),18,30,22,Naturally Aspirated,Automatic,6,"2-Wheel Drive, Front",Gasoline (Regular Unleaded Recommended),Large Cars
2015,General Motors,Chevrolet,SS,6.2,8,Auto(S6),14,21,17,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Large Cars
2015,General Motors,Chevrolet,SS,6.2,8,Manual,15,21,17,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Required),Large Cars
2015,FCA US LLC,Chrysler,300,3.6,6,Auto(A8),19,31,23,Naturally Aspirated,Automatic,8,"2-Wheel Drive, Rear",Gasoline (Regular Unleaded Recommended),Large Cars
2015,FCA US LLC,Chrysler,300,3.6,6,Auto(A8),19,31,23,Naturally Aspirated,Automatic,8,"2-Wheel Drive, Rear",Gasoline (Regular Unleaded Recommended),Large Cars
2015,FCA US LLC,Chrysler,300,5.7,8,Auto(A8),16,25,19,Naturally Aspirated,Automatic,8,"2-Wheel Drive, Rear",Gasoline (Mid Grade Unleaded Recommended),Large Cars
2015,FCA US LLC,Chrysler,300 AWD,3.6,6,Auto(A8),18,27,21,Naturally Aspirated,Automatic,8,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Large Cars
2015,FCA US LLC,Chrysler,300 AWD,3.6,6,Auto(A8),18,27,21,Naturally Aspirated,Automatic,8,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Large Cars
2015,FCA US LLC,Dodge,Charger,3.6,6,Auto(A8),19,31,23,Naturally Aspirated,Automatic,8,"2-Wheel Drive, Rear",Gasoline (Regular Unleaded Recommended),Large Cars
2015,FCA US LLC,Dodge,Charger,3.6,6,Auto(A8),19,31,23,Naturally Aspirated,Automatic,8,"2-Wheel Drive, Rear",Gasoline (Regular Unleaded Recommended),Large Cars
